"","Provider.ID","Hospital.Name","ZIP.Code","County.Name","Phone.Number","HCAHPS.Measure.ID","HCAHPS.Question","HCAHPS.Answer.Description","HCAHPS.Answer.Percent","Number.of.Completed.Surveys","Survey.Response.Rate.Percent","Footnote","Measure.Start.Date","Measure.End.Date","Location","Location.1"
"788",460052,"TIMPANOGOS REGIONAL HOSPITAL",84057,"UTAH",8.02e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",22,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","750 WEST 800 NORTH
OREM, UT 84057
(40.312087907000034, -111.71475115099997)","750 WEST 800 NORTH
OREM, UT
(40.312087907000034, -111.71475115099997)"
"789",460047,"ST MARKS HOSPITAL",84124,"SALT LAKE",8.01e+09,"H_COMP_3_SN_P","Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",12,"300 or more",37,NA,"01/01/2013 12:00:00 AM","########","1200 EAST 3900 SOUTH
SALT LAKE CITY, UT 84124
(40.68704076400007, -111.85675983399994)","1200 EAST 3900 SOUTH
SALT LAKE CITY, UT
(40.68704076400007, -111.85675983399994)"
"790",460047,"ST MARKS HOSPITAL",84124,"SALT LAKE",8.01e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",24,"300 or more",37,NA,"01/01/2013 12:00:00 AM","########","1200 EAST 3900 SOUTH
SALT LAKE CITY, UT 84124
(40.68704076400007, -111.85675983399994)","1200 EAST 3900 SOUTH
SALT LAKE CITY, UT
(40.68704076400007, -111.85675983399994)"
"791",461307,"HEBER VALLEY MEDICAL CENTER",84032,"WASATCH",4.36e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",85,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","1485 SOUTH HIGHWAY 40
HEBER CITY, UT 84032
(40.488898352000035, -111.40908450799998)","1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.488898352000035, -111.40908450799998)"
"792",460052,"TIMPANOGOS REGIONAL HOSPITAL",84057,"UTAH",8.02e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",77,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","750 WEST 800 NORTH
OREM, UT 84057
(40.312087907000034, -111.71475115099997)","750 WEST 800 NORTH
OREM, UT
(40.312087907000034, -111.71475115099997)"
"793",460015,"LOGAN REGIONAL HOSPITAL",84341,"CACHE",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",8,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","500 EAST 1400 NORTH
LOGAN, UT 84341
(41.75743373000006, -111.82112768799999)","500 EAST 1400 NORTH
LOGAN, UT
(41.75743373000006, -111.82112768799999)"
"794",460043,"OREM COMMUNITY HOSPITAL",84057,"UTAH",8.02e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",26,"300 or more",44,NA,"01/01/2013 12:00:00 AM","########","331 NORTH 400 WEST
OREM, UT 84057
(40.30326027600006, -111.70545684599995)","331 NORTH 400 WEST
OREM, UT
(40.30326027600006, -111.70545684599995)"
"795",460043,"OREM COMMUNITY HOSPITAL",84057,"UTAH",8.02e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",85,"300 or more",44,NA,"01/01/2013 12:00:00 AM","########","331 NORTH 400 WEST
OREM, UT 84057
(40.30326027600006, -111.70545684599995)","331 NORTH 400 WEST
OREM, UT
(40.30326027600006, -111.70545684599995)"
"796",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",21,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"797",460057,"PARK CITY MEDICAL CENTER",84060,"SUMMIT",4.36e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",74,"300 or more",41,NA,"01/01/2013 12:00:00 AM","########","900 ROUND VALLEY DRIVE
PARK CITY, UT 84060
(40.68647486900005, -111.46651672699994)","900 ROUND VALLEY DRIVE
PARK CITY, UT
(40.68647486900005, -111.46651672699994)"
"798",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",4,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"799",460011,"CASTLEVIEW HOSPITAL",84501,"CARBON",4.36e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",7,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","300 NORTH HOSPITAL DRIVE
PRICE, UT 84501
(39.60453376300006, -110.83118408299998)","300 NORTH HOSPITAL DRIVE
PRICE, UT
(39.60453376300006, -110.83118408299998)"
"800",461301,"FILLMORE COMMUNITY MEDICAL CENTER",84631,"MILLARD",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",6,"Fewer than 100",32,10,"01/01/2013 12:00:00 AM","########","674 SOUTH HIGHWAY 99
FILLMORE, UT 84631
(38.953819775000056, -112.33996106599994)","674 SOUTH HIGHWAY 99
FILLMORE, UT
(38.953819775000056, -112.33996106599994)"
"801",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"802",461304,"CENTRAL VALLEY MEDICAL CENTER - CAH",84648,"JUAB",4.36e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",16,"Between 100 and 299",46,NA,"01/01/2013 12:00:00 AM","########","48 WEST 1500 NORTH
NEPHI, UT 84648
(39.730628066000065, -111.83705088599999)","48 WEST 1500 NORTH
NEPHI, UT
(39.730628066000065, -111.83705088599999)"
"803",460007,"VALLEY VIEW MEDICAL CENTER",84721,"IRON",4.36e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",19,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","1303 NORTH MAIN STREET
CEDAR CITY, UT 84721
(37.70026348600004, -113.06404143699996)","1303 NORTH MAIN STREET
CEDAR CITY, UT
(37.70026348600004, -113.06404143699996)"
"804",461306,"GUNNISON VALLEY HOSPITAL",84634,"SANPETE",4.36e+09,"H_COMP_3_A_P","Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",77,"Between 100 and 299",46,3,"01/01/2013 12:00:00 AM","########","64 EAST 100 NORTH
GUNNISON, UT 84634
(39.15662908000007, -111.81637890399998)","64 EAST 100 NORTH
GUNNISON, UT
(39.15662908000007, -111.81637890399998)"
"805",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",8,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"806",460007,"VALLEY VIEW MEDICAL CENTER",84721,"IRON",4.36e+09,"H_COMP_7_SA","Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who â€œStrongly Agreeâ€ they understood their care when they left the hospital",59,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","1303 NORTH MAIN STREET
CEDAR CITY, UT 84721
(37.70026348600004, -113.06404143699996)","1303 NORTH MAIN STREET
CEDAR CITY, UT
(37.70026348600004, -113.06404143699996)"
"807",460015,"LOGAN REGIONAL HOSPITAL",84341,"CACHE",4.36e+09,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",74,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","500 EAST 1400 NORTH
LOGAN, UT 84341
(41.75743373000006, -111.82112768799999)","500 EAST 1400 NORTH
LOGAN, UT
(41.75743373000006, -111.82112768799999)"
"808",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"809",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_COMP_3_A_P","Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"810",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",76,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"811",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",1,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"812",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_COMP_5_A_P","Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",86,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"813",460023,"AMERICAN FORK HOSPITAL",84003,"UTAH",8.02e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",7,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","170 NORTH 1100 EAST
AMERICAN FORK, UT 84003
(40.38027072600005, -111.76904436599995)","170 NORTH 1100 EAST
AMERICAN FORK, UT
(40.38027072600005, -111.76904436599995)"
"814",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",42,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"815",463301,"PRIMARY CHILDRENS HOSPITAL",84113,"SALT LAKE",8.02e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT 84113
(40.76630043500006, -111.83674326999994)","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT
(40.76630043500006, -111.83674326999994)"
"816",463301,"PRIMARY CHILDRENS HOSPITAL",84113,"SALT LAKE",8.02e+09,"H_QUIET_HSP_U_P","Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT 84113
(40.76630043500006, -111.83674326999994)","100 NORTH MARIO CAPECCHI DRIVE
SALT LAKE CITY, UT
(40.76630043500006, -111.83674326999994)"
"817",461307,"HEBER VALLEY MEDICAL CENTER",84032,"WASATCH",4.36e+09,"H_COMP_5_U_P","Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",16,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","1485 SOUTH HIGHWAY 40
HEBER CITY, UT 84032
(40.488898352000035, -111.40908450799998)","1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.488898352000035, -111.40908450799998)"
"818",460051,"JORDAN VALLEY MEDICAL CENTER",84088,"SALT LAKE",8.02e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",8,"300 or more",28,NA,"01/01/2013 12:00:00 AM","########","3580 WEST 9000 SOUTH
WEST JORDAN, UT 84088
(40.58793342400003, -111.97527612899995)","3580 WEST 9000 SOUTH
WEST JORDAN, UT
(40.58793342400003, -111.97527612899995)"
"819",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"820",461303,"SANPETE VALLEY HOSPITAL - CAH",84647,"SANPETE",4.35e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",10,"Between 100 and 299",39,NA,"01/01/2013 12:00:00 AM","########","1100 SOUTH MEDICAL DRIVE
MOUNT PLEASANT, UT 84647
(39.53225359600003, -111.46126347999996)","1100 SOUTH MEDICAL DRIVE
MOUNT PLEASANT, UT
(39.53225359600003, -111.46126347999996)"
"821",461307,"HEBER VALLEY MEDICAL CENTER",84032,"WASATCH",4.36e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",4,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","1485 SOUTH HIGHWAY 40
HEBER CITY, UT 84032
(40.488898352000035, -111.40908450799998)","1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.488898352000035, -111.40908450799998)"
"822",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",6,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"823",461308,"SAN JUAN HOSPITAL",84535,"SAN JUAN",4.36e+09,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","380 WEST 100 NORTH
MONTICELLO, UT 84535
(37.87787989700007, -109.34460540199996)","380 WEST 100 NORTH
MONTICELLO, UT
(37.87787989700007, -109.34460540199996)"
"824",460057,"PARK CITY MEDICAL CENTER",84060,"SUMMIT",4.36e+09,"H_HSP_RATING_7_8","Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""7"" or ""8"" (medium)",15,"300 or more",41,NA,"01/01/2013 12:00:00 AM","########","900 ROUND VALLEY DRIVE
PARK CITY, UT 84060
(40.68647486900005, -111.46651672699994)","900 ROUND VALLEY DRIVE
PARK CITY, UT
(40.68647486900005, -111.46651672699994)"
"825",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_COMP_6_Y_P","Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",92,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"826",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",3,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"827",460060,"LONE PEAK HOSPITAL",84020,"SALT LAKE",8.02e+09,"H_COMP_7_A","Patients who â€œAgreeâ€ they understood their care when they left the hospital","Patients who â€œAgreeâ€ they understood their care when they left the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","11925 S STATE STREET
DRAPER, UT 84020
(40.53459279700007, -111.89148067299999)","11925 S STATE STREET
DRAPER, UT
(40.53459279700007, -111.89148067299999)"
"828",460005,"OGDEN REGIONAL MEDICAL CENTER",84405,"WEBER",8.01e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",29,"300 or more",36,NA,"01/01/2013 12:00:00 AM","########","5475 SOUTH 500 EAST
OGDEN, UT 84405
(41.16341207600004, -111.96866503299998)","5475 SOUTH 500 EAST
OGDEN, UT
(41.16341207600004, -111.96866503299998)"
"829",460005,"OGDEN REGIONAL MEDICAL CENTER",84405,"WEBER",8.01e+09,"H_COMP_4_A_P","Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",64,"300 or more",36,NA,"01/01/2013 12:00:00 AM","########","5475 SOUTH 500 EAST
OGDEN, UT 84405
(41.16341207600004, -111.96866503299998)","5475 SOUTH 500 EAST
OGDEN, UT
(41.16341207600004, -111.96866503299998)"
"830",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",7,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
"831",460041,"DAVIS HOSPITAL AND MEDICAL CENTER",84041,"DAVIS",8.02e+09,"H_COMP_6_Y_P","Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",90,"300 or more",33,NA,"01/01/2013 12:00:00 AM","########","1600 WEST ANTELOPE DRIVE
LAYTON, UT 84041
(41.08921787400004, -111.99543086899996)","1600 WEST ANTELOPE DRIVE
LAYTON, UT
(41.08921787400004, -111.99543086899996)"
"832",461300,"DELTA COMMUNITY MEDICAL CENTER",84624,"MILLARD",4.36e+09,"H_HSP_RATING_0_6","Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""6"" or lower (low)",3,"Fewer than 100",34,6,"01/01/2013 12:00:00 AM","########","126 SOUTH WHITE SAGE AVENUE
DELTA, UT 84624
(39.34974253100006, -112.56026558899998)","126 SOUTH WHITE SAGE AVENUE
DELTA, UT
(39.34974253100006, -112.56026558899998)"
"833",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",85,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"834",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",6,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"835",460004,"MCKAY DEE HOSPITAL",84403,"WEBER",8.01e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",18,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","4401 HARRISON BOULEVARD
OGDEN, UT 84403
(41.182842762000064, -111.94917334099995)","4401 HARRISON BOULEVARD
OGDEN, UT
(41.182842762000064, -111.94917334099995)"
"836",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",3,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"837",460035,"BEAVER VALLEY HOSPITAL",84713,"BEAVER",4.35e+09,"H_COMP_6_N_P","Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",8,"Fewer than 100",28,10,"01/01/2013 12:00:00 AM","########","1109 NORTH 100 WEST
BEAVER, UT 84713
(38.289840242000025, -112.64318848899995)","1109 NORTH 100 WEST
BEAVER, UT
(38.289840242000025, -112.64318848899995)"
"838",460059,"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC",84107,"SALT LAKE",8.01e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","4252 S BIRKHILL BLVD
MURRAY, UT 84107
(40.678414359000044, -111.89280785599999)","4252 S BIRKHILL BLVD
MURRAY, UT
(40.678414359000044, -111.89280785599999)"
"839",460006,"LDS HOSPITAL",84143,"SALT LAKE",8.01e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",20,"300 or more",37,NA,"01/01/2013 12:00:00 AM","########","8TH AVENUE AND C STREET
SALT LAKE CITY, UT 84143
(40.778499871000065, -111.87863972099996)","8TH AVENUE AND C STREET
SALT LAKE CITY, UT
(40.65968998000005, -111.91300138699995)"
"840",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_COMP_5_A_P","Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",71,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"841",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_RECMND_DY","Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",67,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"842",460007,"VALLEY VIEW MEDICAL CENTER",84721,"IRON",4.36e+09,"H_HSP_RATING_0_6","Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""6"" or lower (low)",6,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","1303 NORTH MAIN STREET
CEDAR CITY, UT 84721
(37.70026348600004, -113.06404143699996)","1303 NORTH MAIN STREET
CEDAR CITY, UT
(37.70026348600004, -113.06404143699996)"
"843",460017,"BRIGHAM CITY COMMUNITY HOSPITAL",84302,"BOX ELDER",4.36e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",19,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT 84302
(41.49152653600004, -112.02418016899998)","950 SOUTH MEDICAL DRIVE
BRIGHAM CITY, UT
(41.49152653600004, -112.02418016899998)"
"844",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",2,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
"845",460059,"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC",84107,"SALT LAKE",8.01e+09,"H_COMP_4_A_P","Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","4252 S BIRKHILL BLVD
MURRAY, UT 84107
(40.678414359000044, -111.89280785599999)","4252 S BIRKHILL BLVD
MURRAY, UT
(40.678414359000044, -111.89280785599999)"
